                           TxHash                                 TxIx        Amount
923d55ade77383535abdf8e76a6468086b36d64d88a68c6b7acee386344dcef7     1        4000000 lovelace + 80 bcfd65f6e2a6428e536eaaa25cd2c4d333dee1679812be8268c28271.7161636f696e6b6869677630 + 80 bcfd65f6e2a6428e536eaaa25cd2c4d333dee1679812be8268c28271.7161636f696e6b6869677631 + 80 bcfd65f6e2a6428e536eaaa25cd2c4d333dee1679812be8268c28271.7161636f696e6b6869677632 + 80 bcfd65f6e2a6428e536eaaa25cd2c4d333dee1679812be8268c28271.7161636f696e6b6869677633 + 80 bcfd65f6e2a6428e536eaaa25cd2c4d333dee1679812be8268c28271.7161636f696e6b6869677634 + TxOutDatumHash ScriptDataInBabbageEra "fcaa61fb85676101d9e3398a484674e71c45c3fd41b492682f3b0054f4cf3273"
97b6e3f2c4beae0c7c4a509b8964c49d325e9f39f9c3ea75210d942ebee81fa3     0        100000000 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataNumber 42)
a1259f9aef07affe9312766138eb4e6ff675f9c4ae7490a49cae856686b5b4f4     0        200000000 lovelace + TxOutDatumHash ScriptDataInBabbageEra "fcaa61fb85676101d9e3398a484674e71c45c3fd41b492682f3b0054f4cf3273"
a450d7b3d7309be497339a1ce7f3634d31c0d5301a32d33de9d75afe142a8e4e     0        200000000 lovelace + TxOutDatumHash ScriptDataInBabbageEra "9e1199a988ba72ffd6e9c269cadb3b53b5f360ff99f112d9b2ee30c4d74ad88b"
ab0a6d4c3e60b199977c7f3c426ba62d8bf90dd90fb7b10ddbe3d48b88e606cb     0        2400161 lovelace + TxOutDatumHash ScriptDataInBabbageEra "fcaa61fb85676101d9e3398a484674e71c45c3fd41b492682f3b0054f4cf3273"
ab45353094c7d16ff3b1a0f9664410785be1a660974fd8402286ab7faeccb7da     3        1094740 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
b713660901512cb8d9230b8c0e96f826486e0266354573002ce4d683c28168a1     0        200000000 lovelace + TxOutDatumHash ScriptDataInBabbageEra "fcaa61fb85676101d9e3398a484674e71c45c3fd41b492682f3b0054f4cf3273"
b7e30b7c1753ce5ecbc0da1c422c16aed3aceb9afdb5bd4558b3c614b45d7bc2     0        4400080 lovelace + TxOutDatumHash ScriptDataInBabbageEra "fcaa61fb85676101d9e3398a484674e71c45c3fd41b492682f3b0054f4cf3273"
beca744d45dd43571e9a2357b3b06f77197972c590587c0622fb5b017510cba4     0        3000000 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
cb8542763b457e05d9222952dafecd5430f3311cb6159465a0ed1dfc495b1e91     0        99000000 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
d0f9cdf66b4dd765d418544aa3ac80e59bc86a0b8bbf7a2591293a3c1293f4d0     0        3000000 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
daf9313f560c560216d3a3f94f26ea46f317411f09a0d814da4182d6022491ca     0        2400161 lovelace + TxOutDatumHash ScriptDataInBabbageEra "9e1199a988ba72ffd6e9c269cadb3b53b5f360ff99f112d9b2ee30c4d74ad88b"
e02d44acaa334fc2edeb4764cbc3c2826b23aaa6a6eb6c8cfcd71021c78be9da     0        30150000 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
